Dates,AverageVIX,pred1,pred2,pred3,pred4,pred5,pred6,pred7,pred8,pred9,pred10,pred11,pred12,pred13,pred14,pred15,pred16,pred17,pred18,pred19,pred20
1997-10-22,,22.80752007305622,,,,,,,,,,,,,,,,,,,
1997-10-23,,23.788432812392717,24.935065580606462,,,,,,,,,,,,,,,,,,
1997-10-24,,27.957448905408384,26.679309493899343,24.84889336526394,,,,,,,,,,,,,,,,,
1997-10-27,,26.75827566295862,28.509114367067813,25.474711094796657,23.943614500910044,,,,,,,,,,,,,,,,
1997-10-28,,39.7023483350873,27.31457735985517,27.18447300851345,23.436310534626244,25.175029882937668,,,,,,,,,,,,,,,
1997-10-29,,43.472770871818064,36.8924154138565,25.483901077508925,23.739469980448483,25.61953633904457,25.887830957472325,,,,,,,,,,,,,,
1997-10-30,,39.75694465816021,31.391824760138988,36.88196273386478,24.078881740123038,30.908169400691985,26.217344185709955,23.3104966044426,,,,,,,,,,,,,
1997-10-31,,36.05405633270741,34.904792416393754,29.481729683578013,38.01813436180353,37.89151564717293,27.22129216134548,21.76256087422371,24.883808954358106,,,,,,,,,,,,
1997-11-03,,32.34694632589817,34.02816535890102,25.345583906173704,30.07074518084526,37.17694320082664,25.826405070722103,24.53465306341648,24.33928185671568,23.768105924278498,,,,,,,,,,,
1997-11-04,,33.44296967953444,29.496740341186523,28.13028614759445,29.224424973130223,36.59099244117737,35.056017864942554,26.026870425492525,25.997328173816204,23.37220485314727,26.80113545805216,,,,,,,,,,
1997-11-05,,33.73950472354889,29.430430755913257,24.77844670146704,29.339823237061506,30.568235218524933,32.124396459162234,37.10029303431511,34.40393941611052,26.83212441816926,27.07840432196856,24.95225158855319,,,,,,,,,
1997-11-06,,31.46680613577366,31.184363808631897,24.52532983124256,29.076926279366017,29.65329788327217,33.249318025410176,31.68954001367092,35.593641371428966,28.10111932098865,26.825831024944783,24.651243169754743,23.67338459268212,,,,,,,,
1997-11-07,,32.43055719047785,30.315425033569337,26.790856213867663,28.90612796545029,29.64603049993515,32.634987245500085,31.54818983078003,34.879669605195524,33.69595541536808,27.898013300299645,32.47215428829193,23.619935695528984,23.572678668200968,,,,,,,
1997-11-10,,33.378857652843,31.162555313408376,25.081138716638087,29.177258893847466,29.937157307863234,30.862887849509715,29.604291692376137,32.60686103373766,32.9272033149004,34.94796735703945,28.60483189702034,35.84705646663904,23.929332485198973,29.038905766308307,,,,,,
1997-11-11,,31.912341573834414,31.435959942936897,25.97001837939024,29.08729224145413,29.552455536723137,30.907439701259136,29.417251749634744,29.94063871443272,31.91757425904274,34.21952639132738,39.51253976464272,39.939564102888106,26.288085901886223,29.87420010983944,24.891879007071257,,,,,
1997-11-12,,31.9277646702528,31.06025568306446,26.607257491350172,29.21037455767393,29.495403616428376,31.025405661165717,29.17664763838053,30.551003736555572,29.304971100091933,29.8797140994668,35.7140629285574,41.392594490349296,30.55046650856733,41.80898636758327,25.326533463299278,20.705994166731838,,,,
1997-11-13,,33.48549317836761,30.809272919297214,25.734701945185662,29.18582493066788,29.45890595436096,30.37331240683794,28.71316159427166,30.703064638078214,29.1438450050354,29.04521925270557,28.175851118266586,38.13241798341274,34.36850563466549,37.26046311736107,26.58897904932499,21.00485684618354,24.16750638008118,,,
1997-11-14,,31.460712616741656,31.69739327162504,25.747426211237908,29.13046295195818,29.57545904695988,30.74081442207098,28.846741006970404,29.805246686041357,29.253185706138613,28.736924414932727,27.73040239810944,29.64457744628191,33.93325155586004,33.38288263261318,26.759785823524,23.809836271554232,24.819741344153883,22.77023454710841,,
1997-11-17,,31.44957676887512,29.796782172620297,26.65738043963909,29.16050330281257,29.521770089268685,30.98136988669634,28.786068085432053,30.057534448504448,28.98343380391598,28.753443118035797,27.52275637790561,28.97455050647259,25.57198425933719,32.159910613298415,32.80655756026506,22.91581698670983,27.232480885982515,23.00603215992451,24.92171208098531,
1997-11-18,27.859897238917647,32.11275087922812,29.55131974369288,24.82862887173891,29.23849653929472,29.436122411489485,30.683686359226705,28.78102998673916,29.9572229847312,28.931792234778403,28.89603696256876,27.49000027611852,28.966815692484374,25.316186536848544,24.649590241909028,30.99072696000337,31.06635766237974,27.368139413297172,23.55389683932066,20.809030899256467,24.570113283246755
1997-11-19,28.270962839059536,32.438410448431966,28.97020192086697,24.76807227909565,29.140251499712463,29.689749013781547,30.765211763978005,28.886682004332545,29.890995887219905,29.035189586877824,28.75808569848537,27.61382921233773,28.883403644561767,25.38014945104718,24.610928862392903,26.813107816427948,30.91496089309454,35.023327330350874,22.45289249390364,27.30526576057077,24.07854121372104
1997-11-20,27.87259511946142,32.1773261064291,30.596759063601493,24.26155511915684,29.150037932395936,29.5419795909524,31.13411818623543,28.80087358117104,30.04608557015657,29.085430979132653,28.85046141654253,27.558463003486395,28.849378500282764,25.38141003325581,24.60803650304675,26.2664265191555,24.82767603233457,30.420730179548265,24.269841966629027,27.45036067634821,24.174951429367063
1997-11-21,27.62514018806815,31.746733643710613,30.100557104051116,25.602856890559195,29.09625168144703,29.53226084053516,30.82876752704382,28.861123488545417,30.03410580903292,29.039250522851944,28.916766771674155,27.66496633708477,28.9205633237958,25.294776732474567,24.596585509628056,26.265625964850187,24.9953112578392,24.942534953206778,25.543197087943557,26.067375089228157,24.453193225860595
1997-11-24,28.060713959828018,32.015512613356115,29.13744057059288,25.37987766444683,29.20488806396723,29.69629304289818,30.51000731885433,28.844071787595748,30.009507535398008,28.998455036878585,28.832007423639297,27.686294711232183,28.976953226923943,25.330717073380946,24.584680833518505,26.2348516844213,24.92472288429737,25.414322650283577,26.08649321436882,28.196308083236215,31.15087377727032
1997-11-25,28.130154167175295,32.4983134841919,28.988023507595063,24.710024160444732,29.273528457283973,29.627762633264062,30.54350792557001,28.74502302110195,30.346761922836304,29.21007633268833,28.8098393663764,27.658798790574075,28.920072627365588,25.32397740021348,24.593873988837004,26.127034891843795,24.872719638049603,25.113213765621182,26.075499076247212,26.841679250597952,34.32335310280323
1997-11-28,27.64232720067352,32.66085667669773,30.61511153310537,23.98174394011497,29.13078867286444,29.430356728434564,29.8020127427578,28.717611703276635,30.308747754991053,29.11928480267525,28.96163799911737,27.644970457553864,28.970085591971877,25.31958651319146,24.5988697861135,26.18626216247678,24.92473557472229,25.05914621025324,25.967495099902152,26.90921769201756,24.53802237123251
1997-12-01,27.670620185770098,32.024051154255865,29.6333485352993,25.17910879701376,29.070826415121555,29.55018395066261,29.96391718387604,28.65418072938919,30.50994598180056,29.071001965999603,28.77749781847,27.757094591856003,28.95349920660257,25.35254777684808,24.58897971495986,26.2307505621016,24.892648892849685,25.31588725432753,25.92703591018915,26.795820285081863,25.16407698869705
1997-12-02,27.631320319250232,31.859151772856716,29.563673872351647,25.412618960738182,29.04153691440821,29.746720561385157,29.98993043988943,28.52198880314827,30.001408929228784,29.18502966403961,28.75730312228203,27.623289924114943,28.999349711835382,25.35107780262828,24.59446197852492,26.19982293903828,24.926271116137503,25.19686798915267,25.97945794045925,26.75263688415289,24.923807058632374
